category,Win Percentage,Number of Plays
The Wayward Sisters,0.46,71
Titania,0.38,72
Hamlet,0.32,78
Spike,0.3,81
Willow,0.24,91
Shakespeare,0.48,107
Angel,0.3,115
Buffy (Giles),0.41,162
Buffy (Xander),0.43,169
Squirrel Girl,0.47,171
Oda Nobunaga,0.46,174
Deadpool,0.49,180
Ms. Marvel,0.37,238
Spider-Man,0.38,263
Cloak & Dagger,0.45,287
Annie Christmas,0.5,339
Elektra,0.7,409
King Arthur,0.36,476
Dr. Sattler,0.55,594
Invisible Man,0.38,597
Beowulf,0.42,658
Sherlock Holmes,0.64,672
Jekyll & Hyde,0.39,674
Doctor Strange,0.52,676
Tomoe Gozen,0.53,677
Ghost Rider,0.4,741
Bloody Mary,0.46,753
She-Hulk,0.52,769
Black Panther,0.45,900
Raptors,0.54,965
Bruce Lee,0.49,975
The Genie,0.45,977
Alice,0.46,979
InGen,0.53,979
Dr. Jill Trent,0.48,985
Golden Bat,0.58,986
Black Widow,0.44,1047
Winter Soldier,0.38,1073
Bullseye,0.41,1081
Sinbad,0.51,1154
Dracula,0.52,1198
Robin Hood,0.42,1290
Moon Knight,0.5,1305
T. Rex,0.58,1360
Daredevil,0.43,1378
Sun Wukong,0.56,1387
Nikola Tesla,0.53,1402
Houdini,0.54,1617
Luke Cage,0.55,1727
Little Red Riding Hood,0.5,1781
Bigfoot,0.52,1817
Medusa,0.61,1836
Achilles,0.53,1960
Yennenga,0.53,2401